,alpha,beta,gamma,tau,scf_bc,nn_scf_bc
351,40,0.2,14,0.4,1.325135831,1.3451881
352,22,0.2,14,0.4,1.325110708,1.3433247
353,40,0.7,8,0.6,1.317501368,1.3208977
354,40,0.6,8,0.6,1.31717967,1.3284992
355,22,0.6,8,0.6,1.31687631,1.3259572
356,22,0.7,8,0.6,1.316826768,1.320685
357,4,0.5,14,1,1.303344934,1.3207947
358,40,0.7,20,1,1.298874204,1.2799811
359,22,0.7,20,1,1.2985718,1.2816174
360,40,0.4,8,0.4,1.294000755,1.3225241
361,22,0.4,8,0.4,1.293887186,1.3226177
362,4,0.4,8,0.4,1.293606102,1.3160712
363,4,0.5,8,0.6,1.290327726,1.2754408
364,4,0.7,8,0.8,1.272323596,1.270719
365,40,0.5,8,0.6,1.268838148,1.2713767
366,22,0.5,8,0.6,1.261628634,1.260234
367,22,0.6,14,1,1.258749668,1.2762291
368,40,0.6,14,1,1.258501467,1.2728938
369,22,0.5,14,1,1.23677102,1.2683866
370,40,0.5,14,1,1.236476621,1.2703722
371,4,0.2,20,0.8,1.218823254,1.2362653
372,22,0.2,20,0.8,1.214332883,1.2354889
373,4,0.4,14,1,1.205094712,1.206554
374,4,0.3,14,0.8,1.194927875,1.1976475
375,22,0.7,14,1,1.190345126,1.2223731
376,40,0.7,14,1,1.190129173,1.2203608
377,22,0.3,14,0.8,1.184698871,1.2020105
378,40,0.3,14,0.8,1.184661683,1.2063737
379,4,0.3,8,0.4,1.182619068,1.177299
380,40,0.3,8,0.4,1.182000431,1.1570264
381,22,0.3,8,0.4,1.181961556,1.1672407
382,4,0.6,8,0.8,1.179042876,1.2031267
383,22,0.4,14,1,1.175434595,1.185964
384,40,0.4,14,1,1.175139461,1.184689
385,40,0.7,8,0.8,1.168895067,1.1814454
386,22,0.7,8,0.8,1.168797286,1.1831889
387,4,0.7,8,1,1.142734376,1.1602926
388,22,0.2,14,0.6,1.128082006,1.0788224
389,22,0.6,8,0.8,1.121114829,1.1521779
390,40,0.6,8,0.8,1.12099918,1.1615205
391,4,0.4,8,0.6,1.110061265,1.1247003
392,40,0.4,8,0.6,1.104688158,1.1073695
393,22,0.4,8,0.6,1.104656891,1.1152371
394,40,0.2,20,0.8,1.062618064,1.2347124
395,4,0.5,8,0.8,1.050156131,1.0858384
396,4,0.2,14,0.6,1.045009307,1.0779959
397,40,0.2,14,0.6,1.042912718,1.0796489
398,4,0.6,8,1,1.040959733,1.056336
399,22,0.7,8,1,1.040296881,1.0735297
400,40,0.7,8,1,1.039729137,1.0732559
401,22,0.5,8,0.8,1.024819863,1.0476804
402,40,0.5,8,0.8,0.997084638,1.0348581
403,22,0.6,8,1,0.985472795,1.0015925
404,40,0.6,8,1,0.984961254,1.0031137
405,4,0.3,14,1,0.938503384,0.960538
406,22,0.3,14,1,0.930599666,0.9590111
407,40,0.3,14,1,0.930533758,0.9576467
408,4,0.2,20,1,0.807151229,0.84641385
409,22,0.2,20,1,0.802731855,0.84211564
410,40,0.2,20,1,0.802727492,0.8380214
411,4,0.2,8,0.2,0.747895835,0.6960255
412,22,0.2,8,0.2,0.747564769,0.7110772
413,40,0.2,8,0.2,0.747552336,0.72612894
414,4,0.5,8,1,0.728202509,0.7152345
415,22,0.5,8,1,0.711208171,0.7153661
416,4,0.2,8,0.4,0.705248593,0.7157228
417,40,0.2,8,0.4,0.704039869,0.70978427
418,22,0.2,8,0.4,0.703978429,0.7127536
419,4,0.4,8,0.8,0.703415638,0.7095214
420,4,0.3,8,0.6,0.700570151,0.6999165
421,40,0.3,8,0.6,0.699409108,0.69734216
422,22,0.3,8,0.6,0.699407165,0.697934
423,22,0.4,8,0.8,0.696318994,0.7064847
424,40,0.4,8,0.8,0.696276524,0.7033255
425,40,0.5,8,1,0.691257872,0.71220684
426,4,0.2,14,0.8,0.66870468,0.6965742
427,40,0.2,14,0.8,0.667823752,0.69470704
428,22,0.2,14,0.8,0.667816397,0.69462264
429,4,0.4,8,1,0.626069345,0.6163163
430,22,0.4,8,1,0.620538745,0.6165105
431,40,0.4,8,1,0.620415282,0.6166794
432,4,0.3,8,0.8,0.573800645,0.56245315
433,22,0.3,8,0.8,0.572135354,0.5622898
434,40,0.3,8,0.8,0.572105792,0.5621264
435,4,0.2,14,1,0.532200184,0.5331756
436,22,0.2,14,1,0.531716758,0.53414035
437,40,0.2,14,1,0.531712229,0.535105
438,4,0.3,8,1,0.426126137,0.421654
439,22,0.3,8,1,0.424204058,0.4172646
440,40,0.3,8,1,0.424164962,0.41287532
441,22,0.2,8,0.6,0.412869889,0.43122554
442,40,0.2,8,0.6,0.412861822,0.424872
443,40,0.2,8,1,0.4,0.39397803
444,22,0.2,8,1,0.4,0.3882573
445,4,0.2,8,1,0.4,0.3825366
446,40,0.2,8,0.8,0.4,0.39284584
447,22,0.2,8,0.8,0.4,0.3871251
448,4,0.2,8,0.8,0.4,0.3814044
449,9.94,0.48,8.57,0.83,1.026706274,1.0246043
450,20,0.57,9.01,0.9,1.095657867,1.0950516
451,9.38,0.21,19.79,0.91,1.121361451,1.075449
452,10.55,0.63,9.2,0.94,1.129442595,1.1316856
453,4.62,0.4,11.35,0.87,1.134067723,1.0893905
454,5.26,0.53,8.04,0.75,1.154296103,1.1679842
455,25.71,0.59,11.56,0.95,1.189960864,1.2182803
456,26.2,0.59,10.39,0.79,1.260684182,1.2946808
457,4.31,0.53,9.6,0.71,1.301171961,1.3045506
458,14.25,0.61,15.45,0.97,1.320519667,1.3351338
459,10.86,0.64,21.38,0.98,1.407795078,1.4090576
460,9.17,0.48,12.48,0.68,1.44604047,1.4885371
461,37.9,0.63,20.52,0.84,1.536149665,1.5027915
462,6.86,0.6,12.64,0.51,1.581558132,1.6403145
463,6.48,0.35,13.26,0.49,1.635164405,1.5771399
464,30.9,0.46,15.98,0.66,1.64201753,1.6914591
465,6.45,0.53,11.46,0.3,1.656620189,1.7037545
466,4.3,0.52,15.65,0.71,1.671047793,1.6910138
467,7.59,0.53,30.47,0.96,1.69481967,1.6901835
468,30.78,0.57,15.28,0.36,1.722186777,1.7130939
469,33.06,0.26,24.75,0.87,1.728306929,1.6542958
470,12.68,0.4,24.9,0.93,1.744249302,1.7368596
471,35.56,0.49,15.37,0.44,1.745467761,1.7631255
472,37.38,0.43,16.37,0.54,1.771877559,1.7877383
473,21.4,0.2,26.24,0.71,1.775026448,1.7833982
474,5.23,0.66,27.96,0.82,1.81126547,1.8644478
475,15.1,0.69,23.07,0.34,1.849722307,1.8486617
476,9.53,0.61,23.12,0.34,1.862656884,2.005266
477,14.02,0.46,25.73,0.81,1.863086721,1.8760571
478,27.94,0.66,26.71,0.47,1.91738714,1.883535
479,6.85,0.56,31.98,0.76,1.91747729,2.017798
480,4.33,0.25,21.93,0.51,1.948692301,1.9691747
481,15.53,0.6,31.86,0.31,1.969017335,1.9521643
482,13.72,0.49,20.37,0.35,1.976824769,1.9707336
483,12.86,0.38,19.71,0.42,1.97787816,2.0294678
484,37.2,0.55,23.95,0.51,2.000086116,1.9490858
485,9.87,0.53,28.7,0.58,2.114348116,2.0932367
486,16.56,0.26,24.36,0.55,2.11553275,2.1539516
487,36.94,0.29,21.89,0.25,2.145992452,2.1267767
488,33.32,0.33,23.18,0.41,2.198684539,2.1883254
489,26.8,0.24,30.26,0.71,2.20427542,2.20038
490,22.65,0.32,23.03,0.45,2.205326328,2.1872177
491,18.65,0.33,23.71,0.4,2.212396856,2.2124255
492,4.45,0.42,27.18,0.44,2.284902792,2.279742
493,23.47,0.35,26.13,0.4,2.325869043,2.2895582
494,31,0.28,16,0.48,1.70669923,1.707248
495,38,0.65,10,0.9,1.202805981,1.2033852
496,35,0.39,12,0.45,1.598826357,1.5827086
497,27,0.34,27,0.45,2.357733018,2.322861
498,7,0.42,18,0.48,1.900764198,1.8963084
499,6,0.44,25,0.57,2.140222969,2.151133
500,28,0.4,15,0.43,1.809472073,1.7862916
